,symbol,hgnc
308,DDO,2727
309,ECI1,2703
310,ECI2,14601
311,DCK,2704
312,DCTD,2710
313,DCT,2709
314,SCD,10571
315,FADS2,3575
316,FADS1,3574
317,DGAT2,16940
318,DGAT1,2843
319,GUK1,4693
320,DGUOK,2858
321,GNPAT,4416
322,DHCR24,2859
323,CYP7A1,2651
324,DHCR7,2860
325,DEGS2,20113
326,DEGS1,13709
327,SULT1E1,11377
328,DHFR,2861
329,DPYS,3013
330,DPYSL3,3015
331,DPYSL2,3014
332,QDPR,9752
333,GGPS1,4249
334,FDPS,3631
335,DMGDH,24475
336,DNMT3B,2979
337,DNMT3A,2978
338,DNMT1,2976
339,TRDMT1,2977
340,ALG6,23157
341,ALG8,23161
342,ALG10,23162
343,MOXD1,21063
344,DBH,2689
345,TYR,12442
346,COASY,29932
347,PGAM1,8888
348,BPGM,1093
349,PGAM2,8889
350,MVD,7529
351,RBKS,30325
352,DERA,24269
353,DTYMK,3061
354,DPYD,3012
355,TK1,11830
356,TK2,11831
357,PNP,7892
358,UPP2,23061
359,DUT,3078
360,ITPA,6176
361,EBP,3133
362,ECHS1,3151
363,AADAC,17
364,ENGASE,24622
365,ENO1,3350
366,ENO3,3354
367,ENO2,3353
368,PCYT2,8756
369,ETFB,3482
370,ETFA,3481
371,ETFDH,3483
372,ETNK2,25575
373,ETNK1,24649
374,TNNI3K,19661
375,FPGT,3825
376,FUT8,4019
377,OLAH,25625
378,ACSL3,3570
379,ACSL1,3569
380,ACSL6,16496
381,ACSL4,3571
382,ACSBG2,24174
383,ACSL5,16526
384,SLC27A2,10996
385,ACSM1,18049
386,ENPP3,3358
387,ENPP1,3356
388,ELOVL6,15829
389,ELOVL4,14415
390,ELOVL5,21308
391,ELOVL2,14416
392,CYP4V2,23198
393,CYP4A11,2642
394,CYP4B1,2644
395,POR,9208
396,ACADL,88
397,SCP2,10606
398,ACADVL,92
399,DECR1,2753
400,DECR2,2754
401,ALDOC,418
402,ALDOB,417
403,ALDOA,414
404,FBP1,3606
405,FBP2,3607
406,PFKFB2,8873
407,PFKFB3,8874
408,PFKFB4,8875
409,PFKFB1,8872
410,FECH,3647
411,ALDH1L1,3978
412,CYBRD1,20797
413,FCSK,29500
414,AFMID,20910
415,FLAD1,24671
416,FPGS,3824
417,FTCD,3974
418,MTHFS,7437
419,ALDH1L2,26777
420,MTHFD1,7432
421,MTHFD1L,21055
422,FUCA2,4008
423,FUCA1,4006
424,FH,3700
425,FAH,3579
426,FUT1,4012
427,FUT3,4014
428,FUT9,4020
429,B4GALT1,924
430,B4GALT2,925
431,B4GALT5,928
432,B4GALT3,926
433,GPD1,4455
434,GNPDA2,21526
435,GNPDA1,4417
436,H6PD,4795
437,G6PD,4057
438,GAMT,4136
439,GAL3ST1,24240
440,CTSA,9251
441,GALNS,4122
442,NEU1,7758
443,GLB1,4298
444,GALC,4115
445,B4GALNT1,4117
446,GALK2,4119
447,GALK1,4118
448,CSGALNACT2,24292
449,CSGALNACT1,24290
450,CHSY1,17198
451,CHSY3,24293
452,CHPF,24291
453,GALNT13,23242
454,GALNT15,21531
455,GALNT8,4130
456,GALNT1,4123
457,GALNT11,19875
458,GALNT7,4129
459,GALNT5,4127
460,GALNT4,4126
461,GALNT2,4124
462,GALNT3,4125
463,GALNT9,4131
464,GALNT6,4128
465,GALNT12,19877
466,GALNT14,22946
467,GALNT10,19873
468,GALT,4135
469,B3GALT6,17978
470,B4GALT7,930
471,UGP2,12527
472,MGAM,7043
473,SLC33A1,95
474,GAPDHS,24864
475,GAPDH,4141
476,GART,4163
477,AGA,318
478,GBA1,4177
479,GBGT1,20460
480,ALDH5A1,408
481,ALDH6A1,7179
482,AMT,473
483,GCSH,4208
484,GLDC,4313
485,GCNT2,4204
486,GFPT2,4242
487,GFPT1,4241
488,GFUS,12390
489,GGH,4248
490,GYG2,4700
491,GYS1,4706
492,GYS2,4707
493,GYG1,4699
494,GGT5,4260
495,SHMT1,10850
496,SHMT2,10852
497,GLA,4296
498,GBE1,4180
499,GUSB,4696
500,HYAL3,5322
501,GLCE,17855
502,CHPF2,29270
503,EXT2,3513
504,EXT1,3512
505,B3GAT2,922
506,B3GAT1,921
507,B3GAT3,923
508,NAGLU,7632
509,NDST4,20779
510,NDST2,7681
511,NDST3,7682
512,NDST1,7680
513,EXTL2,3516
514,EXTL3,3518
515,EXTL1,3515
516,AGL,321
517,GLUL,4341
518,LGSN,21016
519,PYGL,9725
520,PYGB,9723
521,PYGM,9726
522,GCLC,4311
523,GCLM,4312
524,GLUD1,4335
525,GLUD2,4336
526,GLS,4331
527,GLS2,29570
528,PPAT,9238
529,GCDH,4189
530,LDHD,19708
531,HAO2,4810
532,HAO1,4809
533,GATM,4175
534,GRHPR,4570
535,GK,4289
536,GK2,4291
537,HAGHL,14177
538,HAGH,4805
539,GMDS,4369
540,GMPR,4376
541,GMPR2,4377
542,GMPS,4378
543,PGD,8891
544,GNMT,4415
545,GPAM,24865
546,GPAT3,28157
547,GPAT2,27168
548,PIGW,23213
549,PGAP1,25712
550,GSR,4623
551,PRDX2,9353
552,GPX4,4556
553,GPX1,4553
554,GPX2,4554
555,PRDX1,9352
556,GPX6,4558
557,GPX3,4555
558,GPX7,4559
559,PRDX3,9354
560,GSS,4624
561,GCH1,4193
562,GUCY2F,4691
563,NPR1,7943
564,GUCY1B2,4686
565,NPR2,7944
566,GUCY2D,4689
567,GUCY1A2,4684
568,GUCY1A1,4685
569,GUCY2C,4688
570,GUCY1B1,4687
571,GDA,4212
572,HPRT1,5157
573,CA12,1371
574,CA4,1375
575,CA7,1381
576,CA1,1368
577,CA14,1372
578,CA13,14914
579,CA2,1373
580,CA6,1380
581,CA9,1383
582,CA3,1374
583,CA5A,1377
584,CA5B,1378
585,PIGN,8967
586,DUOX1,3062
587,DUOX2,13273
588,PIGO,23215
589,PIGF,8962
590,PIGG,25985
591,GPAA1,4446
592,PIGK,8965
593,PIGU,15791
594,PIGS,14937
595,PIGT,14938
596,PIGZ,30596
597,HSD17B10,4800
598,HADH,4799
599,COQ2,25223
600,HK3,4925
601,GCK,4195
602,HK2,4923
603,HK1,4922
604,HKDC1,23302
605,HGD,4892
606,HIBADH,4907
607,HAL,4806
608,HDC,4855
609,KYNU,6469
610,HMBS,4982
611,HMGCR,5006
612,HMGCS1,5007
613,HMGCS2,5008
614,HMGCL,5005
615,HMGCLL1,21359
616,HMOX2,5014
617,HMOX1,5013
618,SGSH,10818
619,HSD11B1,5208
620,HSD11B2,5209
621,HSD17B8,3554
622,HSD17B1,5210
623,HSD17B2,5211
624,HSD17B7,5215
625,HSD3B1,5217
626,HSD3B2,5218
627,HSD3B7,18324
628,PDXP,30259
629,IDH3G,5386
630,IDH3A,5384
631,IDH3B,5385
632,IDH1,5382
633,IDH2,5383
634,TPO,12015
635,IDUA,5391
636,BCAT1,976
637,BCAT2,977
638,IMPDH1,6052
639,IMPDH2,6053
640,MIOX,14522
641,IDI1,5387
642,IDI2,23487
643,SUCLG2,11450
644,SUCLG1,11449
645,SUCLA2,11448
646,AMDHD1,28577
647,KHK,6315
648,KMO,6381
649,LCT,6530
650,LCAT,6522
651,GLO1,4323
652,CYP4F8,2648
653,LSS,6708
654,LGALS13,15449
655,CLC,2014
656,PLA2G4A,9035
657,PIPOX,17804
658,LPL,6677
659,LIPC,6619
660,PNPLA3,18590
661,CEL,1848
662,MGLL,17038
663,PLA2G3,17934
664,PNLIP,9155
665,LIPF,6622
666,LIPG,6623
667,PNLIPRP1,9156
668,LRAT,6685
669,SC5D,10547
670,LTA4H,6710
671,MGST3,7064
672,LTC4S,6719
673,MGST2,7063
674,SETDB1,10761
675,SUV39H1,11479
676,KMT5A,29489
677,SETD7,30412
678,DOT1L,24948
679,KMT2C,13726
680,EHMT2,14129
681,EHMT1,24650
682,SETDB2,20263
683,SUV39H2,17287
684,MAN2A2,6825
685,MAN2A1,6824
686,MGAT1,7044
687,MGAT4B,7048
688,MGAT4A,7047
689,MGAT3,7046
690,MGAT5,7049
691,MGAT2,7045
692,GSTZ1,4643
693,GAA,4065
694,GANC,4139
695,MAN1B1,6823
696,GMPPB,22932
697,GMPPA,22923
698,MPI,7216
699,MCCC2,6937
700,MCCC1,6936
701,MLYCD,7150
702,MCAT,29622
703,MPST,7223
704,MDH1B,17836
705,MDH1,6970
706,MDH2,6971
707,ME2,6984
708,ME1,6983
709,ME3,6985
710,CYP2C19,2621
711,CYP1A1,2595
712,CYP1B1,2597
713,CYP1A2,2596
714,MAT2A,6904
715,MAT1A,6903
716,MAT2B,6905
717,MTR,7468
718,MVK,7530
719,MOGS,24862
720,GANAB,4138
721,BAG5,941
722,IPMK,20739
723,INPP5A,6076
724,INPPL1,6080
725,INPP5B,6077
726,INPP5E,21474
727,SYNJ1,11503
728,INPP5D,6079
729,INPP5J,8956
730,INPP1,6071
731,ITPKB,6179
732,ITPKA,6178
733,ITPKC,14897
734,MTMR2,7450
735,IMPA2,6051
736,MTMR1,7449
737,IMPA1,6050
738,ISYNA1,29821
739,INPP4B,6075
740,INPP4A,6074
741,MAN1C1,19080
742,MAN1A1,6821
743,MAN1A2,6822
744,MCEE,16732
745,MMUT,7526
746,MOGAT2,23248
747,MOGAT1,18210
748,MTAP,7413
749,MTHFD2,7434
750,MTHFR,7436
751,MTHFD2L,31865
752,C1GALT1,24337
753,ACY3,24104
754,ASPA,756
755,NADK,29831
756,CD38,1667
757,NADSYN1,29832
758,NAGA,7631
759,CNDP1,20675
760,CNDP2,24437
761,CANT1,19721
762,DCTPP1,28777
763,ENTPD4,14573
764,NME3,7851
765,NME1,7849
766,NME2,7850
767,NME7,20461
768,NME6,20567
769,NME4,7852
770,NMNAT3,20989
771,NMNAT1,17877
772,NMNAT2,16789
773,NAMPT,30092
774,NNMT,7861
775,PNMT,9160
776,NOS3,7876
777,ST6GALNAC1,23614
778,NT5C,17144
779,NT5C3A,17820
780,NT5C2,8022
781,NT5E,8021
782,NT5C1B,17818
783,PHEX,8918
784,NT5M,15769
785,GUCA1A,4678
786,SI,10856
787,OTC,8512
788,OXCT2,18606
789,OXCT1,8527
790,BCKDHA,986
791,,HGNC
792,,HGNC
793,DBT,2698
794,UMPS,12563
795,OPLAH,8149
796,ODC1,8109
797,OAT,8091
798,CYP11A1,2590
799,CYP11B1,2591
800,CYP11B2,2592
801,CYP17A1,2593
802,CYP19A1,2594
803,CYP21A2,2600
804,CYP27A1,2605
805,CYP2A6,2610
806,CYP2A13,2608
807,CYP3A4,2637
808,CYP7B1,2652
809,CYP2C8,2622
810,CYP2C9,2623
811,CYP2D6,2625
812,CYP2F1,2632
813,CYP2B6,2615
814,CYP3A43,17450
815,CYP3A7,2640
816,CYP4F12,18857
817,CYP4F3,2646
818,CYP4F2,2645
819,CYP8B1,2653
820,PYCR1,9721
821,PAFAH1B1,8574
822,PAFAH2,8579
823,PAFAH1B2,8575
824,PAFAH1B3,8576
825,PLA2G7,9040
826,PLD1,9067
827,PLD2,9068
828,ACMSD,19288
829,PLOD2,9082
830,PLOD3,9083
831,PLOD1,9081
832,PC,8636
833,PDE4A,8780
834,PDE2A,8777
835,PDE11A,8773
836,PDE4B,8781
837,PDE7B,8792
838,PDE7A,8791
839,PDE3A,8778
840,PDE4C,8782
841,PDE10A,8772
842,PDE1C,8776
843,PDE1B,8775
844,PDE8A,8793
845,PDE8B,8794
846,PDE4D,8783
847,PDE3B,8779
848,PDE1A,8774
849,PDE6H,8790
850,PDE9A,8795
851,PDE6C,8787
852,PDE6G,8789
853,PDE5A,8784
854,PDE6A,8785
855,PDE6D,8788
856,PDE6B,8786
857,PDHA2,8807
858,PDHA1,8806
859,PDHB,8808
860,DLAT,2896
861,PNPO,30260
862,PCK1,8724
863,PCK2,8725
864,PEMT,8830
865,PFKM,8877
866,PFKL,8876
867,PFKP,8878
868,PHGDH,8923
869,PTGDS,9592
870,HPGDS,17890
871,PTGES2,17822
872,PTGES,9599
873,GPI,4458
874,PTGIS,9603
875,PGK1,8896
876,PGK2,8898
877,PGLS,8903
878,PGP,8909
879,PGM1,8905
880,PGM2,8906
881,PTPMT1,26965
882,PGS1,30029
883,PTGS2,9605
884,PTGS1,9604
885,TAT,11573
886,PAH,8582
887,PHYH,8940
888,PTEN,9588
889,SYNJ2,11504
890,PIP5K1B,8995
891,PIP5K1A,8994
892,PIP5K1C,8996
893,PI4K2A,30031
894,PI4KA,8983
895,PI4KB,8984
896,PIK3R5,30035
897,PIK3CG,8978
898,PIK3R1,8979
899,PIK3CB,8976
900,PIK3R3,8981
901,PIK3CD,8977
902,PIK3R2,8980
903,HCST,16977
904,PIK3CA,8975
905,OCRL,8108
906,PLCD3,9061
907,PLCD4,9062
908,PLCD1,9060
909,PLCXD2,26462
910,PLCH2,29037
911,PLCB4,9059
912,PLCZ1,19218
913,PLCG2,9066
914,PLCG1,9065
915,PLCH1,29185
916,PLCB3,9056
917,PLCB2,9055
918,PLCB1,15917
919,PLCE1,17175
920,PLCL1,9063
921,PIK3C2A,8971
922,PIK3C2B,8972
923,PIK3C2G,8973
924,PIKFYVE,23785
925,PIK3C3,8974
926,PIGH,8964
927,PIGQ,14135
928,PIGP,3046
929,PIGA,8957
930,DPM2,3006
931,PIGC,8960
932,PLA2G5,9038
933,PLA2G2A,9031
934,PLA2G2F,30040
935,PLA2G4E,24791
936,PLA2G6,9039
937,PLA2G4B,9036
938,PLA2G12A,18554
939,PLA2G10,9029
940,PLA2G2D,9033
941,PLA2G2E,13414
942,PLA2G1B,9030
943,PMM2,9115
944,PMM1,9114
945,PMVK,9141
946,IP6K1,18360
947,IP6K3,17269
948,IP6K2,17313
949,VNN2,12706
950,VNN3P,16431
951,VNN1,12705
952,PANK1,8598
953,PANK3,19365
954,PANK4,19366
955,PANK2,15894
956,PPA1,9226
957,LHPP,30042
958,PPA2,28883
959,PLPP3,9229
960,PLPP1,9228
961,PLPP2,9230
962,ALAD,395
963,PPCDC,28107
964,PCCA,8653
965,PCCB,8654
966,PPCS,25686
967,PPOX,9280
968,EPX,3423
969,PRDX6,16753
970,MPO,7218
971,PFAS,8863
972,P4HA2,8547
973,P4HA1,8546
974,P4HB,8548
975,PRODH2,17325
976,PRODH,9453
977,PRPS2,9465
978,PRPS1L1,9463
979,PRPS1,9462
980,PISD,8999
981,PSAT1,19129
982,PSPH,9577
983,PTDSS1,9587
984,PTDSS2,15463
985,ACOT8,15919
986,ACOT2,18431
987,ACOT4,19748
988,PTS,9689
989,SAT1,10540
990,SAT2,23160
991,PDXK,8819
992,PKLR,9020
993,PKM,9021
994,UPP1,12576
995,GSTP1,4638
996,GSTM1,4632
997,GSTA1,4626
998,RFK,30324
999,RDH16,29674
1000,RDH5,9940
1001,RDH11,17964
1002,RDH13,19978
1003,RDH10,19975
1004,RDH12,19977
1005,RDH8,14423
1006,SDR16C5,30311
1007,RDH14,19979
1008,PNPLA4,24887
1009,RRM2B,17296
1010,RRM1,10451
1011,RRM2,10452
1012,NMRK1,26057
1013,RPE,10293
1014,RPIA,10297
1015,ST3GAL4,10864
1016,ST3GAL1,10862
1017,ST3GAL2,10863
1018,ST3GAL3,10866
1019,ST6GAL1,10860
1020,UST,17223
1021,HS2ST1,5193
1022,IDS,5389
1023,HS3ST1,5194
1024,HS3ST5,19419
1025,HS3ST4,5200
1026,HS3ST2,5195
1027,HS3ST3A1,5196
1028,HS3ST3B1,5198
1029,HS3ST6,14178
1030,CHST11,17422
1031,CHST13,21755
1032,CHST12,17423
1033,CHST14,24464
1034,ARSB,714
1035,CHST5,1973
1036,CHST4,1972
1037,CHST2,1970
1038,CHST6,6938
1039,CHST1,1969
1040,CHST3,1971
1041,CHST7,13817
1042,HS6ST3,19134
1043,HS6ST1,5201
1044,HS6ST2,19133
1045,GNS,4422
1046,AASS,17366
1047,COMTD1,26309
1048,HNMT,5028
1049,SARDH,10536
1050,SGPP1,17720
1051,SORD,11184
1052,AHCYL2,22204
1053,SCLY,18161
1054,SEPHS2,19686
1055,SEPHS1,19685
1056,SPTLC1,11277
1057,SPTLC3,16253
1058,SPTLC2,11278
1059,ESD,3465
1060,SGPL1,10817
1061,NEU2,7759
1062,NEU4,21328
1063,ST3GAL5,10872
1064,SPHK1,11240
1065,SPHK2,18859
1066,SMPD3,14240
1067,ENPP7,23764
1068,SMPD4,32949
1069,SMPD1,11120
1070,SMPD2,11121
1071,SGMS1,29799
1072,SOAT1,11177
1073,SRM,11296
1074,SOD1,11179
1075,SOD3,11181
1076,SOD2,11180
1077,SPR,11257
1078,SMS,11123
1079,SQLE,11279
1080,FDFT1,3629
1081,SRD5A1,11284
1082,SRD5A2,11285
1083,AANAT,19
1084,INMT,6069
1085,ST3GAL6,18080
1086,ST6GALNAC2,10867
1087,ST6GALNAC5,19342
1088,ST6GALNAC6,23364
1089,ST6GALNAC3,19343
1090,ST8SIA1,10869
1091,ST8SIA5,17827
1092,STS,11425
1093,SDHC,10682
1094,SDHD,10683
1095,SDHA,10680
1096,SDHB,10681
1097,TALDO1,11559
1098,TGDS,20324
1099,PCBD1,8646
1100,THTPA,18987
1101,SDSL,30404
1102,THNSL1,26160
1103,TKTL1,11835
1104,TKTL2,25313
1105,TKT,11834
1106,TPK1,17358
1107,TYMP,3148
1108,TYMS,12441
1109,TMLHE,18308
1110,TPI1,12009
1111,TXNRD1,12437
1112,TXNRD2,18155
1113,TXNRD3,20667
1114,PGGHG,26210
1115,TREH,12266
1116,TPH2,20692
1117,TPH1,12008
1118,TDO2,11708
1119,IDO2,27269
1120,TBXAS1,11609
1121,TH,11782
1122,TYRP1,12450
1123,GALE,4116
1124,UAP1,12457
1125,UAP1L1,28082
1126,UGDH,12525
1127,UXS1,17729
1128,ENPP2,3357
1129,LALBA,6480
1130,UGCG,12524
1131,UGT1A8,12540
1132,UGT1A10,12531
1133,UGT1A7,12539
1134,UGT1A4,12536
1135,UGT1A9,12541
1136,UGT1A6,12538
1137,UGT1A5,12537
1138,UGT1A3,12535
1139,UGT1A1,12530
1140,UGT2B17,12547
1141,UGT2B7,12554
1142,UGT2B28,13479
1143,UGT2B4,12553
1144,UROS,12592
1145,UROD,12591
1146,UROC1,26444
1147,UCKL1,15938
1148,SLC27A5,10999
1149,XDH,12805
1150,XYLB,12839
1151,XYLT1,15516
1152,XYLT2,15517
1153,DCXR,18985
1154,OGA,7056
1155,FTMT,17345
1156,FTH1,3976
1157,CP,2295
1158,FTL,3999
1159,NT5C1B-RDH14,38831
1160,NT5C1A,17819
1161,NIT2,29878
1162,ASPG,20123
1163,GGTLC2,18596
1164,GGT1,4250
1165,GGT6,26891
1166,GGT2P,4251
1167,GGTLC3,33426
1168,GGT7,4259
1169,GGTLC1,16437
1170,SUOX,11460
1171,CARNS1,29268
1172,PPT1,9325
1173,ACOT7,24157
1174,PPT2,9326
1175,ACOT1,33128
1176,MECR,19691
1177,ACOX3,121
1178,GLYCTK,24247
1179,BCKDHB,987
1180,TMEM91,32393
1181,QPRT,9755
1182,NAPRT,30450
1183,SCD5,21088
1184,ADO,23506
1185,GGCT,21705
1186,TST,12388
1187,PYCR2,30262
1188,CYP51A1,2649
1189,SGPP2,19953
1190,PECR,18281
1191,SOAT2,11178
1192,LIPA,6617
1193,OXSM,26063
1194,CA8,1382
1195,ACOT6,33159
1196,ELOVL1,14418
1197,LPO,6678
1198,PCBD2,24474
1199,SULT4A1,14903
1200,LYZL1,30502
1201,UGT2B10,12544
1202,UGT2B11,12545
1203,UGT2B15,12546
1204,ACE2,13557
1205,NLN,16058
1206,KYAT3,33238
1207,PAOX,20837
1208,CYP39A1,17449
1209,MGST1,7061
1210,GSTK1,16906
1211,CBR3,1549
1212,DHRS4,16985
1213,CNP,2158
1214,CYP26A1,2603
1215,CYP26B1,20581
1216,EPHX2,3402
1217,EPHX1,3401
1218,PIP4K2A,8997
1219,PIP4K2C,23786
1220,PIP4K2B,8998
1221,GLYAT,13734
1222,CYP3A5,2638
1223,CMA1,2097
1224,CPA2,2297
1225,CPA5,15722
1226,CPA1,2296
1227,CPA6,17245
1228,TPP1,2073
1229,TPSB2,14120
1230,TPSD1,14118
1231,TPSAB1,12019
1232,TRHDE,30748
1233,NAA10,18704
1234,CYP4F22,26820
1235,ACE,2707
1236,KL,6344
1237,B4GALT6,929
1238,UGT8,12555
1239,HSD17B3,5212
1240,HACL1,17856
1241,MTMR3,7451
1242,PTGES3,16049
1243,FMO2,3770
1244,FMO4,3772
1245,FMO3,3771
1246,FMO5,3773
1247,FMO1,3769
1248,CYP4Z1,20583
1249,CYP2S1,15654
1250,CYP2A7,2611
1251,CYP4X1,20244
1252,CYP2J2,2634
1253,CYP2C18,2620
1254,CYP4F11,13265
1255,ACSBG1,29567
1256,DPEP1,3002
1257,PEPD,8840
1258,LAP3,18449
1259,HEPH,4866
1260,PYCR3,25846
1261,ETHE1,23287
1262,NADK2,26404
1263,CUBN,2548
1264,LRP2,6694
1265,GC,4187
1266,SLC25A21,14411
1267,SLC16A3,10924
1268,SLC16A7,10928
1269,SLC16A1,10922
1270,SLC4A4,11030
1271,SLC4A5,18168
1272,SLC16A10,17027
1273,SLC25A12,10982
1274,SLC25A13,10983
1275,ABCC1,51
1276,SLC19A1,10937
1277,SLC18A1,10934
1278,SLC18A2,10935
1279,SLC36A1,18761
1280,SLC6A12,11045
1281,SLC6A1,11042
1282,SLC6A13,11046
1283,SLC6A11,11044
1284,SLC18A3,10936
1285,SLC17A5,10933
